hs,as,hi,ai
2,36,3,1
5,15,2,0
6,23,2,1
5,23,2,0
12,35,2,0
5,35,2,1
9,15,2,0
5,15,2,0
3,9,2,0
5,3,3,2
2,6,3,0
2,36,2,0
8,7,1,2
8,7,1,2
8,7,0,2
2,3,3,2
23,15,2,1
6,8,2,0
2,39,2,0
