u,r
2,352.6
10,245.3
16,227.2
89,220.1
14,187.6
6,181.7
3,165.1
49,159.4
90,155.5
46,150.9
23,148.7
66,126.5
88,111.3
56,109.8
19,105.2
5,98.44
4,89.22
11,87.06
91,85.99
15,73.26
9,69.71
47,66.64
12,64.96
8,57.01
92,52.48
39,51.65
93,47.56
36,40.79
20,38.16
94,33.71
60,33.24
53,30.58
87,22.9
95,21.2
96,17.69
18,16.1
35,15.52
27,14.17
54,11.12
97,10.27
72,10.11
98,9.77
30,9.008
42,8.311
99,8.311
78,7.54
32,7.511
100,6.919
68,6.163
29,5.08
