hi,ai,hs,as
2,36,3,1
58,68,2,0
6,23,2,1
58,23,2,0
12,35,2,0
58,35,2,1
9,15,2,0
58,15,2,0
56,9,2,0
5,56,3,2
2,6,3,0
2,36,2,0
8,60,1,2
8,60,1,2
8,60,0,2
2,56,3,2
23,15,2,1
6,8,2,0
2,39,2,0
