hs,as,hi,ai
19,5,3,1
19,5,3,0
5,19,3,2
5,6,3,1
14,10,3,2
47,5,3,2
19,14,3,0
2,5,3,0
5,8,3,0
14,6,3,1
14,4,3,1
2,6,3,0
5,19,3,2
2,6,3,0
2,6,3,0
2,5,3,0
14,19,3,0
6,5,3,2
2,6,3,1
47,10,3,1
2,6,3,0
2,6,3,0
2,6,3,0
2,6,3,0
2,19,3,0
5,8,3,0
5,19,3,0
14,8,3,1
11,5,3,2
5,42,3,0
2,6,3,2
2,6,3,0
2,5,3,1
3,11,3,1
3,11,3,0
11,3,3,2
5,10,3,0
19,3,3,0
19,3,3,2
2,6,3,0
2,3,3,0
2,6,3,0
2,3,3,2
9,7,3,0
2,6,3,0
2,4,3,0
2,6,3,0
47,19,3,0
5,14,3,1
2,5,3,1
2,5,3,0
14,5,3,2
2,5,3,0
2,5,3,0
2,16,3,0
16,14,3,0
5,4,3,1
2,5,3,0
19,5,3,1
14,19,3,2
2,6,3,0
6,11,3,2
47,11,3,0
2,19,3,0
14,19,3,1
2,19,3,0
2,5,3,1
2,15,3,0
2,6,3,0
5,15,3,1
19,11,3,1
2,6,3,0
2,5,3,0
14,6,3,0
5,14,3,0
2,8,3,0
2,6,3,1
2,5,3,1
19,14,3,0
10,5,3,0
6,10,3,2
19,14,3,0
8,14,3,1
2,6,3,0
2,6,3,1
3,14,3,1
2,6,3,0
2,6,3,1
14,8,3,2
14,8,3,2
3,19,3,0
19,3,3,1
5,19,3,0
5,3,3,2
3,14,3,2
2,17,3,0
14,12,3,2
3,14,3,1
2,6,3,1
2,6,3,0
5,35,3,0
5,35,3,1
2,3,3,0
35,8,3,2
23,35,3,0
3,6,3,1
3,5,3,1
3,2,3,2
2,3,2,1
2,3,2,1
5,54,4,1
5,24,4,1
