u,r
16,6.137
10,5.816
2,5.565
6,5.214
15,4.216
19,3.83
8,3.159
23,3.095
46,2.758
3,2.089
17,2.069
47,1.786
39,1.382
14,1.349
32,1.017
2,0.856
35,0.778
20,0.737
53,0.677
6,0.471
19,0.276
3,0.221
48,0.204
2,0.162
