u,r
2,415.8
10,382.5
33,376.3
5,349.5
5,290.3
16,268
44,256.4
41,240.5
3,230.7
6,193.1
14,189.4
46,179.5
17,148.7
22,139.6
24,130.1
37,120.9
20,116.7
15,107.1
39,107
36,100
11,94.82
49,92.56
27,78.96
35,75.74
11,74.8
53,55.36
34,54.28
54,52.58
7,51.08
42,47.83
23,40.14
29,35.24
51,34.54
40,33.68
43,18.4
19,16.26
