u,r
2,316.5
5,245.7
10,224.2
3,191.3
9,188.9
16,184.5
3,176.3
6,174.5
14,173.8
5,167.7
19,162.3
47,138.2
2,136.9
12,122.7
11,120.6
11,119.5
21,113.6
8,85.97
10,80.27
23,79.32
46,76.87
4,70.44
15,61.5
35,58.67
17,57.19
39,53.11
7,47.58
53,47.03
14,42.22
24,38.77
12,34.28
54,33.25
4,33.16
36,29.83
43,27.66
23,27.66
15,27.66
30,27.66
6,27.66
13,25.65
8,25.48
18,24.83
42,24.64
48,22.72
20,22.72
34,22.48
22,14.99
40,12.91
9,12
17,9.766
18,9.723
29,7.916
25,4.002
16,3.005
19,2.769
