hs,as,hi,ai
2,3,2,0
2,4,2,0
5,2,2,0
6,5,2,1
2,6,2,0
5,7,2,0
5,4,2,0
2,8,2,1
5,4,2,0
5,4,2,1
9,4,2,0
2,4,2,0
2,6,3,0
6,4,2,0
10,6,2,0
2,11,3,1
11,8,2,1
11,12,2,1
13,14,2,0
10,11,2,1
15,4,2,0
2,4,2,0
16,4,2,1
2,16,2,0
15,4,2,0
2,6,3,0
16,17,2,1
2,16,2,0
10,17,2,0
10,4,2,0
4,15,2,0
2,6,3,2
16,18,1,2
16,4,2,0
16,4,2,0
2,8,3,0
6,4,2,0
10,19,2,1
19,4,2,0
15,4,2,0
2,6,3,1
14,4,2,0
14,4,3,0
14,4,3,0
20,4,2,0
6,12,2,1
16,15,2,1
12,16,2,1
16,4,2,0
3,15,2,0
16,14,2,1
16,15,2,1
2,9,2,0
14,15,2,0
4,14,2,0
14,11,2,1
4,9,2,0
11,8,3,0
10,14,2,0
14,12,2,0
14,4,2,0
14,15,2,1
11,21,2,0
14,22,2,1
12,15,2,1
6,19,3,1
23,24,2,1
19,4,2,0
23,25,2,0
11,4,2,1
19,23,2,0
19,26,2,1
10,15,2,0
3,6,2,0
10,27,2,0
8,11,1,3
14,24,3,1
19,11,2,0
10,6,2,0
15,8,2,1
16,14,2,0
10,27,2,0
10,27,0,2
14,9,2,0
16,28,2,0
23,29,2,0
2,19,3,2
10,2,2,1
2,11,2,0
23,11,2,0
23,30,1,0
31,32,2,0
2,6,3,2
2,6,3,2
16,15,2,0
6,15,2,0
33,2,3,1
5,16,2,0
2,6,3,0
22,5,2,1
5,6,2,0
23,34,2,0
3,16,2,0
3,16,2,0
11,21,3,2
16,5,2,1
15,6,2,1
23,16,2,1
5,6,2,0
33,5,2,0
2,3,2,0
2,5,2,0
2,15,2,0
5,6,2,1
16,15,2,0
2,33,3,2
5,10,2,0
16,5,2,1
33,2,3,1
6,16,2,1
13,16,2,0
14,6,2,0
15,5,2,0
33,35,2,0
5,29,2,0
5,15,2,0
2,5,3,2
2,36,2,0
6,14,2,0
16,37,2,1
5,28,2,0
5,37,2,0
33,5,2,0
33,5,2,0
33,5,2,0
5,14,2,0
5,38,1,0
33,19,3,1
23,28,2,0
39,23,2,1
5,37,2,0
14,23,2,1
2,37,2,0
33,15,2,0
2,22,2,0
3,2,2,1
19,2,3,2
14,15,2,0
33,3,2,1
14,17,2,0
2,6,2,0
3,14,2,0
11,35,2,0
35,23,2,1
3,16,2,1
33,16,2,0
33,3,2,1
33,6,2,0
16,14,2,1
23,8,3,2
10,8,2,0
14,19,3,1
33,14,2,0
23,40,2,0
16,23,2,0
16,35,2,0
10,35,2,0
14,8,3,0
19,16,2,1
33,15,2,0
16,41,2,1
16,24,2,1
41,14,3,0
33,15,2,1
16,13,2,1
10,13,2,1
10,12,2,1
23,11,2,1
3,23,2,1
15,3,2,1
15,23,2,0
33,15,2,0
10,13,2,0
8,31,1,2
8,14,1,2
33,14,2,0
33,8,2,0
16,31,2,0
10,24,2,0
15,24,2,1
33,14,2,0
10,41,2,0
23,42,3,1
23,31,1,0
33,17,2,0
33,14,2,0
17,14,2,0
5,23,2,0
16,24,2,0
5,24,2,1
33,5,3,2
10,31,2,0
20,15,2,1
33,16,2,1
33,43,2,0
44,10,3,2
12,15,2,1
13,16,2,1
33,20,1,0
31,45,2,0
13,16,2,1
33,8,2,1
5,16,2,1
33,16,2,0
15,14,3,2
23,15,2,0
12,23,2,0
19,23,2,0
19,8,2,0
19,23,2,1
16,33,2,1
41,8,2,0
10,15,2,0
8,46,2,1
16,14,2,0
19,17,2,0
17,16,2,1
5,14,2,0
19,14,2,1
19,39,2,0
16,19,2,0
24,8,2,0
19,16,2,0
5,15,2,0
14,46,2,1
5,16,2,0
10,16,2,0
5,10,2,0
19,33,2,1
5,19,2,0
19,46,2,0
14,5,3,2
10,8,2,0
16,10,2,0
14,33,1,0
47,20,2,0
20,43,2,1
46,15,2,1
33,15,2,0
5,14,2,0
5,46,2,0
31,46,2,1
5,29,2,0
33,16,2,0
13,46,2,0
23,36,1,0
5,24,2,0
5,16,2,0
15,16,2,1
16,23,2,0
24,23,2,0
10,35,2,1
33,8,2,0
33,3,2,1
16,17,2,0
16,15,2,1
