hs,as,hi,ai
33,17,2,0
14,8,2,0
17,8,2,0
35,14,2,1
19,5,2,0
10,19,2,0
8,35,1,2
16,24,2,0
33,14,2,1
23,12,2,1
16,19,2,0
16,19,2,0
46,48,2,0
3,16,2,1
33,36,2,0
33,16,2,0
3,24,2,1
3,19,2,0
19,24,2,0
33,14,2,0
5,14,2,0
24,14,3,1
19,24,2,0
14,35,2,1
16,14,2,1
33,16,3,1
19,27,2,1
5,19,2,1
10,24,2,1
8,23,0,2
49,14,2,1
8,16,0,2
23,35,2,0
5,16,2,1
24,46,2,0
5,14,3,1
8,16,1,2
46,23,2,0
8,46,2,0
16,14,3,1
5,17,2,0
14,5,2,1
5,15,2,1
12,25,2,0
16,3,2,0
5,16,2,1
13,23,2,1
16,3,2,0
13,23,2,0
5,23,2,0
10,23,2,0
41,23,2,0
8,46,2,1
24,23,2,0
12,24,2,1
23,16,2,1
12,50,2,0
12,46,2,0
13,46,2,0
39,14,2,1
23,3,2,1
24,46,2,1
23,48,1,0
16,20,2,0
20,46,2,1
5,24,2,1
23,40,2,0
46,17,2,0
3,16,2,1
16,3,2,0
8,17,2,1
5,16,2,1
5,29,2,0
5,35,2,0
23,46,2,1
5,35,2,1
14,23,3,2
14,16,2,1
5,23,2,1
13,16,2,1
22,16,2,0
13,23,2,0
22,46,2,1
23,34,2,0
14,23,2,1
10,14,2,1
5,23,2,0
13,23,2,0
17,23,2,1
8,11,1,2
33,14,2,0
16,23,2,1
22,23,2,0
16,24,2,0
46,41,2,1
3,10,2,1
46,51,2,0
5,52,1,0
8,23,0,2
16,24,2,1
24,46,2,0
16,17,2,1
46,34,2,0
46,8,2,0
5,16,2,1
10,36,2,0
11,46,2,1
11,24,2,0
46,53,2,1
14,12,2,1
39,12,2,0
46,36,2,0
16,14,2,0
12,17,2,1
24,17,2,0
3,17,2,1
46,12,2,1
20,12,2,1
5,12,2,0
20,17,3,2
46,36,2,1
46,51,2,0
14,17,3,1
14,16,2,0
14,3,2,0
14,46,2,0
14,42,3,0
14,15,3,0
33,14,4,0
33,17,2,1
17,3,2,1
10,54,2,0
10,17,2,0
10,17,2,0
17,46,2,0
17,14,1,0
20,46,2,0
3,17,2,0
20,41,2,1
10,16,2,0
