hi,ai,hs,as
3,66,2,0
46,29,2,0
91,46,2,0
46,72,2,0
2,46,2,0
2,4,2,0
23,46,2,0
66,2,2,0
66,27,2,1
66,56,2,1
66,9,2,1
66,4,2,0
66,9,2,0
66,4,2,0
66,46,2,1
66,68,2,0
6,56,2,0
46,66,1,2
2,56,2,0
2,93,2,0
46,42,2,0
2,6,4,0
49,97,2,0
56,2,2,1
46,4,2,1
56,16,2,0
56,16,2,0
6,2,2,1
56,16,2,0
16,23,2,0
46,32,2,0
2,56,2,1
46,4,2,1
46,29,2,0
10,16,2,0
46,88,2,0
46,87,2,0
10,2,2,0
46,4,2,0
23,36,3,0
23,46,2,0
2,36,2,0
4,46,2,1
2,56,4,1
46,95,2,1
23,32,2,0
4,46,2,0
46,20,2,1
4,2,1,2
4,53,2,0
20,46,2,1
2,9,2,1
2,36,4,1
10,4,2,0
4,46,2,1
3,46,2,0
4,36,2,1
10,6,2,0
46,53,2,0
2,16,2,0
56,3,2,1
56,3,2,0
2,53,2,0
39,10,2,0
2,56,2,0
46,54,2,0
47,46,2,1
23,72,2,0
46,56,2,1
23,46,2,1
46,36,2,1
23,94,2,0
23,66,1,2
89,66,2,0
2,6,2,0
46,66,1,2
10,66,2,0
47,66,2,1
6,56,2,1
16,66,2,1
46,4,2,0
2,66,6,0
2,6,2,0
16,56,2,0
10,4,2,0
2,88,2,0
16,6,2,0
23,98,1,0
23,94,1,0
10,23,2,1
10,93,2,0
23,3,2,1
2,4,4,0
2,4,2,0
56,2,2,1
10,4,2,0
2,39,2,0
2,4,4,0
16,56,2,1
2,4,2,0
2,4,2,0
2,10,2,0
2,10,3,0
11,8,2,1
3,11,2,0
2,6,2,0
10,94,2,0
18,39,3,1
16,56,3,0
49,10,2,1
49,10,2,0
16,56,2,1
2,4,2,0
14,16,2,1
14,87,2,0
16,56,3,1
94,2,0,2
4,46,2,1
46,100,1,0
23,46,2,0
46,100,2,0
46,15,2,0
12,87,2,0
16,46,2,1
4,46,2,1
14,16,2,1
14,15,3,2
14,46,2,1
16,46,2,0
16,14,3,1
2,14,2,0
15,12,2,1
2,6,2,0
46,87,2,0
46,29,2,0
16,6,3,1
2,14,3,2
12,14,2,0
46,94,2,0
2,3,3,0
2,10,3,2
10,5,3,0
2,14,3,1
2,8,2,0
3,14,3,0
14,19,3,1
14,8,3,1
14,46,2,1
14,15,3,0
14,88,3,2
14,8,3,0
14,3,3,2
14,4,2,0
23,54,2,0
46,23,2,1
89,39,3,0
16,23,2,0
16,23,2,0
3,14,3,0
3,16,2,1
16,3,3,0
16,3,3,1
3,8,2,0
3,8,2,0
16,3,2,0
16,3,2,0
23,4,2,1
46,23,2,0
3,46,2,0
16,11,3,0
16,14,2,0
4,46,2,1
39,23,0,3
49,46,2,0
46,96,2,0
89,4,2,0
89,3,3,0
2,6,2,0
89,11,3,2
11,23,2,0
2,15,2,0
2,15,2,0
88,6,2,0
89,4,3,0
2,6,2,0
11,46,2,1
2,14,2,0
2,88,2,0
4,46,2,0
2,6,2,0
2,6,2,0
16,46,2,0
16,6,2,0
16,88,2,1
8,11,2,1
11,8,3,1
2,6,2,0
14,6,2,0
23,4,2,0
49,23,2,0
14,3,2,1
2,14,2,0
89,88,2,1
46,23,2,0
23,4,2,0
23,87,2,1
46,14,2,0
2,14,2,0
3,46,2,0
2,6,2,1
16,88,2,1
3,14,3,1
10,4,2,0
2,6,2,0
3,4,2,0
6,16,2,1
2,4,2,1
16,3,2,1
16,3,2,0
6,10,2,0
2,3,2,1
6,16,2,0
14,16,2,1
14,92,2,0
14,92,2,0
2,14,2,0
2,6,2,1
2,6,2,0
46,4,2,0
16,4,2,1
16,6,2,1
3,6,2,0
16,14,2,0
6,88,2,1
46,14,2,1
14,46,2,0
6,46,2,1
14,15,3,0
16,14,2,0
14,16,2,0
14,16,2,0
4,46,2,1
14,23,3,1
2,15,2,0
2,6,2,0
46,23,2,0
6,16,2,0
89,4,2,1
14,8,3,1
14,6,2,1
14,88,3,1
14,5,2,0
2,6,2,0
16,5,2,0
16,6,2,0
4,8,2,1
2,5,2,0
2,14,1,0
2,6,2,0
46,4,2,0
89,14,2,0
15,2,2,1
89,4,2,0
2,6,2,0
4,14,2,1
4,11,2,1
23,4,2,1
6,23,2,0
4,6,2,0
23,92,2,1
88,5,2,0
14,4,2,0
88,14,3,0
89,14,3,1
16,14,3,0
2,88,2,0
89,14,3,2
89,46,2,0
2,14,2,0
46,96,2,0
16,89,3,0
14,46,2,1
2,39,2,0
2,89,2,0
14,88,2,1
46,99,2,0
14,6,2,1
6,46,2,0
16,14,2,1
2,6,2,0
2,6,2,0
14,90,3,2
14,4,2,1
90,89,3,1
89,90,3,1
2,6,2,0
2,90,2,0
90,46,2,0
90,89,3,0
89,4,2,0
14,4,2,0
6,92,2,0
6,15,2,0
2,6,2,0
89,46,2,0
2,4,2,0
6,2,2,1
2,6,2,0
2,6,2,0
89,88,2,0
89,88,3,2
2,6,2,1
2,90,2,1
46,4,2,0
2,6,2,0
2,6,2,0
89,3,2,0
46,89,2,1
6,39,2,0
2,6,2,1
90,4,2,0
23,78,2,0
23,32,2,0
90,12,2,0
89,23,3,0
90,6,2,1
89,88,2,1
90,8,2,0
10,8,2,0
15,89,2,1
10,15,3,0
92,90,2,0
90,30,2,0
8,35,4,0
46,92,2,0
90,89,2,1
90,5,2,0
10,46,2,0
23,89,2,0
49,90,2,1
46,90,2,1
5,88,2,0
90,5,2,1
89,60,2,1
5,46,2,0
90,6,2,0
5,6,2,0
89,90,2,0
89,90,2,0
89,88,2,0
89,35,3,0
89,46,2,0
6,89,2,1
46,15,2,1
15,46,2,1
56,16,2,0
16,56,2,0
10,8,2,0
2,19,4,1
10,6,2,0
8,87,2,0
8,14,1,4
89,14,3,2
46,15,2,0
6,46,2,0
2,89,2,1
2,6,2,0
90,4,2,0
16,89,2,0
2,90,2,0
90,4,2,0
89,90,2,1
90,89,2,1
88,46,2,1
89,4,2,0
23,15,2,1
89,23,2,1
2,46,2,0
2,6,2,0
2,6,2,0
89,6,2,1
49,23,2,0
89,90,2,0
89,90,2,0
89,15,2,0
2,90,2,0
88,23,2,1
6,4,2,1
89,90,2,0
10,90,2,1
46,23,2,1
2,90,2,0
2,90,2,0
2,4,2,0
89,90,2,0
46,8,2,1
6,8,2,0
2,4,2,0
2,6,2,0
46,92,2,0
10,39,2,0
2,6,2,0
6,88,2,0
89,6,2,1
10,89,2,0
89,92,2,0
19,56,2,0
90,8,3,0
2,6,2,0
89,88,2,0
23,90,2,1
46,23,2,1
2,88,2,0
23,19,1,2
10,90,2,1
19,90,2,0
88,8,2,0
88,8,2,0
6,23,2,1
89,35,2,0
88,8,2,1
88,8,2,0
6,90,2,0
23,96,2,0
90,23,2,1
89,90,2,0
10,23,2,0
46,88,2,1
46,96,2,0
16,89,3,1
2,6,2,0
6,56,2,0
2,16,2,0
10,96,2,0
88,8,1,0
90,88,2,1
2,6,2,0
2,6,2,0
23,56,1,0
16,8,1,0
56,23,2,1
90,35,2,0
23,32,2,0
89,92,2,1
88,46,2,1
23,92,1,0
23,60,1,0
89,90,3,1
6,23,2,1
46,23,2,0
90,8,2,0
2,90,2,0
6,89,2,1
46,8,2,1
46,96,2,0
46,72,1,0
2,6,2,0
90,4,2,0
14,8,8,3
46,32,2,0
6,46,2,1
10,2,2,1
2,8,3,0
6,16,3,1
6,16,2,1
23,46,2,0
2,90,2,0
2,6,2,0
2,90,2,0
